
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-31,9,5,1,8,4,1,100,90,72,1006,998,985,23,7,0,37,13,50,7.11,5,Fog-Rain,173<br />
2014-2-1,9,7,5,9,3,0,100,73,46,996,990,982,31,13,3,50,24,71,0.00,2,Rain,220<br />
2014-2-2,10,8,5,4,3,1,93,71,43,1011,1005,997,31,16,10,37,24,47,0.00,2,,216<br />
2014-2-3,8,6,3,5,3,2,93,79,55,1010,1003,997,31,15,10,32,18,,0.00,4,,133<br />
2014-2-4,9,7,4,4,3,1,87,76,50,1001,996,986,31,14,6,39,21,53,0.51,4,Rain,176<br />
2014-2-5,10,8,5,7,4,2,93,75,56,990,982,977,26,13,6,45,34,66,2.03,4,Rain,192<br />
2014-2-6,10,8,6,9,6,3,100,82,62,996,989,980,29,12,2,35,26,40,7.11,4,Rain,190<br />
2014-2-7,9,7,4,9,4,0,100,78,46,997,989,977,31,12,3,39,19,58,0.51,4,Rain,230<br />
2014-2-8,9,8,7,8,4,0,93,74,50,987,979,976,31,14,3,45,32,69,2.03,3,Rain,208<br />
2014-2-9,8,7,4,3,1,-2,81,65,42,991,985,978,31,14,10,47,34,66,0.00,3,Rain,228<br />
2014-2-10,9,6,3,6,3,1,100,83,64,1001,993,989,31,14,6,26,11,,1.02,4,Rain,228<br />
2014-2-11,8,5,2,6,2,-1,93,75,43,1002,996,989,31,14,6,40,19,58,2.03,3,Rain,222<br />
2014-2-12,9,6,2,6,2,-1,93,74,49,1003,994,985,31,14,5,52,26,76,7.87,3,Rain-Thunderstorm,211<br />
2014-2-13,8,6,3,2,1,-1,81,66,45,1000,992,989,31,15,10,42,27,48,0.00,2,,236<br />
2014-2-14,12,8,3,10,4,0,94,81,60,1001,989,975,31,14,5,63,24,90,8.89,5,Rain,180<br />
2014-2-15,11,8,5,5,3,2,87,67,51,1002,989,977,31,15,9,66,47,85,0.51,4,Rain,237<br />
2014-2-16,11,6,2,4,2,-1,100,74,38,1009,1007,1002,31,17,7,21,16,,0.00,1,Rain,228<br />
2014-2-17,11,7,2,7,5,3,100,83,58,1009,1008,1006,31,13,5,27,14,42,0.25,4,Rain,171<br />
2014-2-18,11,8,5,8,7,4,93,88,75,1010,1008,1007,31,14,9,23,14,,6.10,4,Rain,203<br />
2014-2-19,10,7,4,8,6,3,100,88,66,1013,1011,1009,31,12,1,24,13,,0.00,5,Fog-Rain,221<br />
2014-2-20,13,9,6,10,7,3,100,84,49,1009,1001,998,31,11,3,34,21,42,1.02,4,Rain,218<br />
2014-2-21,11,7,3,4,2,0,93,70,37,1005,1003,1001,31,15,10,39,19,55,0.00,2,Rain,234<br />
2014-2-22,12,8,4,5,3,1,87,68,38,1013,1009,1004,31,16,10,29,21,,0.00,2,,228<br />
2014-2-23,12,10,7,7,6,4,87,73,57,1012,1010,1008,31,15,10,37,27,60,0.00,5,Rain,197<br />
2014-2-24,14,11,7,8,6,4,87,74,50,1009,1005,1000,31,17,9,32,19,50,0.51,3,Rain,181<br />
2014-2-25,11,8,6,8,5,3,93,78,58,1006,1000,998,31,15,5,35,24,53,3.05,3,Rain-Snow,200<br />
2014-2-26,12,7,3,5,3,1,93,73,38,1016,1013,1007,31,18,10,27,14,,0.00,3,Rain,224<br />
2014-2-27,12,7,3,7,3,1,93,73,39,1014,1007,1003,31,15,5,34,23,50,2.03,3,Rain,222<br />
2014-2-28,8,5,2,5,3,-1,93,85,63,1004,999,993,31,12,6,24,13,,5.08,5,Rain,53<br />
2014-3-1,10,6,1,4,1,-2,100,75,35,1004,1002,1001,31,9,0,14,8,,0.00,2,Fog,273<br />
2014-3-2,10,6,2,6,4,1,93,82,56,1002,993,982,31,12,6,35,18,53,0.25,4,Rain,190<br />
2014-3-3,9,6,3,5,3,2,93,83,63,996,986,982,31,14,10,21,10,,0.76,3,Rain,191<br />
2014-3-4,11,6,0,5,2,-1,100,78,47,1012,1004,996,31,13,5,16,8,,0.00,3,Fog-Rain,265<br />
2014-3-5,13,7,0,4,2,-1,100,72,40,1025,1020,1012,31,15,8,21,6,,0.25,1,,248<br />
2014-3-6,13,9,5,7,5,3,93,77,50,1026,1024,1022,31,15,7,32,14,42,0.00,2,,206<br />
2014-3-7,17,11,6,9,7,4,88,72,43,1029,1023,1019,31,13,10,27,14,,0.00,3,Rain,228<br />
2014-3-8,16,11,7,7,4,2,93,65,29,1029,1025,1021,31,11,6,27,18,,0.00,6,,156<br />
2014-3-9,19,12,6,7,4,3,81,58,28,1024,1022,1021,26,9,5,24,10,34,0.00,,,170<br />
2014-3-10,13,8,4,8,4,2,87,73,57,1033,1028,1023,31,12,6,23,8,,0.00,6,,27<br />
2014-3-11,11,8,6,7,4,2,87,76,61,1034,1033,1032,31,12,7,21,14,,0.00,6,Rain,55<br />
2014-3-12,16,9,2,8,4,1,93,76,40,1034,1032,1030,19,9,3,11,8,,0.00,4,,31<br />
2014-3-13,18,10,2,7,5,2,100,75,26,1031,1030,1028,16,4,0,11,5,,0.00,4,Fog,27<br />
2014-3-14,17,9,2,7,5,2,100,73,35,1031,1027,1024,11,5,1,26,8,,0.00,1,Fog,280<br />
2014-3-15,18,12,7,6,5,2,87,64,24,1029,1026,1025,31,18,5,27,16,,0.00,1,,277<br />
2014-3-16,19,13,7,8,6,3,87,63,28,1026,1024,1022,31,19,7,24,16,,0.00,,,266<br />
2014-3-17,14,9,5,7,6,4,93,74,47,1024,1021,1019,31,13,5,21,14,,0.00,3,,263<br />
2014-3-18,14,10,7,8,6,3,87,69,41,1021,1017,1014,31,13,9,39,21,50,0.00,4,Rain,259<br />
2014-3-19,16,11,7,7,5,4,93,68,35,1024,1022,1019,31,18,8,26,18,,0.00,2,,241<br />
2014-3-20,14,10,7,9,7,5,94,77,48,1019,1009,1004,31,12,6,42,23,60,3.05,5,Rain,218<br />
2014-3-21,13,10,7,6,3,-1,93,67,30,1008,1005,999,31,14,7,37,19,48,3.05,2,Rain,232<br />
2014-3-22,12,8,4,5,2,-2,93,67,30,1002,999,998,31,11,5,35,23,48,0.00,2,Rain,237<br />
2014-3-23,11,6,1,3,1,-3,93,65,29,1015,1008,1002,31,14,10,32,16,39,0.00,2,Rain,292<br />
2014-3-24,11,6,-1,4,1,-2,93,67,36,1015,1012,1008,31,14,8,27,11,,0.25,3,Fog-Rain,163<br />
2014-3-25,9,7,4,6,4,1,100,80,55,1016,1009,1005,31,13,7,24,13,,5.08,5,Rain,96<br />
2014-3-26,9,6,2,4,2,-1,100,80,39,1020,1017,1014,27,10,1,26,10,,2.03,4,Fog-Rain,3<br />
2014-3-27,11,7,3,4,2,-1,93,75,40,1014,1013,1011,23,10,5,27,10,,0.00,4,Fog-Rain,67<br />
2014-3-28,14,9,3,6,3,0,100,70,32,1016,1015,1013,18,6,1,27,13,,0.00,2,Rain,82<br />
2014-3-29,19,13,8,7,4,-1,93,57,18,1016,1014,1012,31,9,3,34,16,,0.00,,,99<br />
2014-3-30,19,13,7,7,5,2,87,56,25,1014,1013,1012,27,9,5,21,8,,0.00,,Rain,114<br />
2014-3-31,17,13,9,9,7,6,82,63,42,1014,1013,1011,31,20,10,21,11,27,1.02,,Rain,141<br />
2014-4-1,19,13,7,11,9,6,100,80,39,1012,1010,1008,19,7,0,16,5,,0.00,4,Fog-Rain,6<br />
2014-4-2,18,14,11,11,9,7,88,71,48,1008,1004,1000,10,8,5,23,13,,0.00,1,Rain,85<br />
2014-4-3,18,14,11,11,9,9,88,75,52,1002,1000,999,21,7,3,26,11,,0.00,5,,96<br />
2014-4-4,15,12,9,10,8,6,88,71,46,1012,1008,1002,31,11,2,24,14,,0.00,5,,253<br />
2014-4-5,14,10,6,11,8,5,100,83,56,1014,1013,1012,31,12,1,26,13,50,0.00,5,Fog-Rain,197<br />
2014-4-6,16,14,12,12,12,11,94,88,67,1014,1013,1012,31,12,5,35,21,48,2.03,6,Rain,213<br />
2014-4-7,14,11,8,12,11,6,94,87,76,1013,1009,1004,31,14,5,29,23,42,2.03,5,Rain,209<br />
2014-4-8,14,9,5,6,3,-1,87,64,26,1026,1018,1010,31,15,10,39,23,,0.00,2,Rain,269<br />
2014-4-9,17,10,4,7,6,3,93,68,38,1027,1026,1024,31,14,6,23,13,,0.00,2,,261<br />
2014-4-10,16,11,6,6,5,3,93,62,31,1025,1022,1020,31,14,9,19,10,,0.00,3,,278<br />
2014-4-11,16,12,9,5,4,2,71,53,28,1023,1021,1020,31,18,10,13,8,,0.00,1,,351<br />
2014-4-12,14,10,6,7,5,3,87,66,42,1022,1019,1017,31,16,10,29,11,,0.00,1,,262<br />
2014-4-13,16,12,8,8,5,2,93,63,33,1024,1021,1020,31,14,9,26,14,,0.00,2,,283<br />
2014-4-14,16,11,6,5,3,0,87,57,25,1028,1024,1022,31,17,10,21,13,,0.00,1,,330<br />
2014-4-15,14,9,3,4,2,0,81,58,26,1031,1030,1028,31,20,10,21,10,,0.00,1,,64<br />
2014-4-16,17,10,3,4,1,-6,87,54,15,1030,1027,1024,31,20,10,16,11,,0.00,1,,139<br />
2014-4-17,17,11,6,7,4,1,81,59,27,1024,1020,1017,31,17,10,21,11,,0.00,2,,279<br />
2014-4-18,12,9,6,5,2,-1,81,57,28,1022,1020,1019,31,15,10,19,13,,0.00,3,,21<br />
2014-4-19,14,9,3,4,2,0,81,59,33,1021,1018,1015,31,14,10,23,11,,0.00,4,,56<br />
2014-4-20,14,10,7,11,8,3,94,84,68,1015,1007,1003,18,7,2,24,13,39,8.89,6,Rain,58<br />
2014-4-21,19,12,5,11,8,4,100,78,31,1007,1005,1004,26,7,0,14,6,,9.91,3,Fog-Rain-Thunderstorm,356<br />
2014-4-22,16,13,9,10,9,7,100,82,49,1014,1008,1004,31,8,2,24,11,40,0.00,5,Rain,206<br />
2014-4-23,16,11,6,11,8,6,100,79,43,1020,1017,1014,31,10,5,24,13,,0.51,2,Rain,166<br />
2014-4-24,17,13,10,10,8,6,94,72,34,1021,1019,1016,31,12,6,14,8,,0.00,3,Rain,116<br />
2014-4-25,12,10,8,11,9,7,100,91,77,1016,1012,1009,19,7,3,26,10,,6.10,6,Rain,329<br />
2014-4-26,16,12,7,10,7,4,100,72,40,1009,1005,1003,31,12,3,34,19,52,0.76,3,Rain,162<br />
2014-4-27,14,11,8,9,7,4,94,74,50,1007,1003,1001,31,12,9,24,18,,0.76,3,Rain,95<br />
2014-4-28,18,13,9,10,8,6,94,73,35,1014,1010,1008,31,10,4,23,11,,0.00,4,Rain,60<br />
2014-4-29,17,13,8,11,9,7,95,76,45,1014,1012,1011,31,9,3,19,8,,0.00,3,Rain,76<br />
2014-4-30,19,13,6,10,7,5,100,72,33,1014,1012,1011,31,9,0,24,8,,0.00,2,Fog,214<br />
2014-5-1,14,12,9,11,10,8,100,89,74,1015,1010,1009,31,8,1,14,10,,6.10,5,Rain,219<br />
2014-5-2,12,9,6,10,6,2,94,75,53,1029,1023,1015,31,11,2,19,13,,0.00,5,Rain,26<br />
2014-5-3,14,8,2,3,1,-1,87,56,26,1030,1028,1026,31,16,10,14,8,,0.00,1,,39<br />
2014-5-4,16,10,4,6,4,2,87,62,32,1027,1023,1019,31,17,10,19,10,40,0.00,1,,196<br />
2014-5-5,18,12,5,8,6,3,93,60,29,1019,1013,1006,31,20,10,26,13,42,0.00,1,,163<br />
2014-5-6,18,15,12,11,8,4,94,64,30,1007,1006,1005,31,13,10,27,14,,0.25,3,Rain,238<br />
2014-5-7,18,14,10,9,7,6,88,66,40,1012,1009,1006,31,13,9,40,23,47,1.02,3,Rain,246<br />
2014-5-8,16,13,11,14,10,6,94,80,56,1012,1008,1004,31,12,3,40,24,48,4.06,6,Rain,233<br />
2014-5-9,18,14,11,10,7,4,82,59,31,1014,1011,1009,31,16,10,47,27,64,0.25,3,Rain,254<br />
2014-5-10,18,14,11,13,9,6,94,74,45,1013,1004,1000,31,13,5,47,24,66,2.03,4,Rain,228<br />
2014-5-11,14,11,8,7,5,3,82,63,37,1008,1003,1000,31,13,9,42,34,55,0.25,5,Rain,257<br />
2014-5-12,18,13,9,8,6,3,87,65,29,1014,1010,1008,31,14,6,29,21,,3.05,3,Rain,273<br />
2014-5-13,16,12,8,9,7,6,93,74,43,1027,1019,1014,31,14,6,16,10,,7.87,2,Rain,298<br />
2014-5-14,19,13,6,8,6,2,93,60,24,1034,1031,1027,31,17,10,16,10,,0.00,2,,325<br />
2014-5-15,21,14,8,11,8,6,87,63,29,1036,1035,1035,31,14,10,19,8,,0.00,2,,164<br />
2014-5-16,23,16,9,11,8,6,87,58,32,1036,1032,1028,29,18,10,10,5,,0.00,1,,185<br />
2014-5-17,23,17,11,12,11,8,94,62,36,1028,1023,1019,31,15,8,14,8,39,0.00,1,,247<br />
2014-5-18,23,18,12,12,9,4,94,57,25,1019,1012,1007,31,15,7,21,10,40,0.00,1,,168<br />
2014-5-19,26,20,13,12,10,8,88,54,27,1007,1004,1002,31,11,4,27,13,,0.00,,,106<br />
2014-5-20,20,17,13,12,11,10,82,68,46,1011,1007,1002,31,13,9,26,13,39,0.00,2,Rain,184<br />
2014-5-21,19,14,9,10,9,7,94,67,35,1011,1008,1001,31,12,6,21,10,,0.00,1,Rain,93<br />
2014-5-22,18,14,12,12,11,8,94,76,45,1003,1001,999,31,11,2,29,14,53,5.08,3,Rain-Thunderstorm,162<br />
2014-5-23,17,13,11,10,8,7,88,68,44,1008,1005,1002,31,13,9,39,19,45,2.03,4,Rain,154<br />
2014-5-24,16,13,10,11,9,6,94,76,52,1013,1009,1008,31,11,5,26,13,,5.08,3,Rain,152<br />
2014-5-25,18,13,9,9,7,4,93,60,32,1020,1017,1013,31,16,10,27,16,45,0.00,2,,192<br />
2014-5-26,12,11,9,11,9,5,94,84,53,1021,1019,1016,31,12,3,13,6,,7.11,3,Rain,343<br />
2014-5-27,13,12,10,12,10,8,94,87,74,1016,1014,1013,26,10,3,16,11,,0.51,6,Rain,323<br />
2014-5-28,14,12,9,12,11,8,94,88,73,1014,1012,1011,31,12,3,16,11,,0.00,6,Rain,296<br />
2014-5-29,19,16,13,13,12,10,94,78,47,1020,1015,1012,31,12,6,19,8,,0.00,3,Rain,93<br />
2014-5-30,16,14,12,11,9,7,88,71,43,1026,1023,1020,31,13,9,19,11,,0.00,6,,58<br />
2014-5-31,19,13,8,11,8,6,87,63,35,1026,1025,1024,29,14,10,11,5,,0.00,3,,315<br />
2014-6-1,22,17,11,12,9,5,88,58,25,1024,1022,1020,31,16,10,14,6,,0.00,2,,301<br />
2014-6-2,21,17,13,12,11,9,88,68,43,1020,1018,1016,31,14,10,21,11,35,0.00,2,Rain,247<br />
2014-6-3,19,16,12,13,11,8,94,76,45,1016,1012,1009,31,13,7,24,11,40,1.02,4,Rain,218<br />
2014-6-4,14,11,8,11,9,3,94,78,47,1009,1005,1003,31,12,7,47,13,64,2.03,4,Rain-Thunderstorm,230<br />
2014-6-5,19,13,8,9,7,3,94,63,25,1014,1010,1006,31,14,7,27,19,40,0.00,3,Rain,252<br />
2014-6-6,23,16,8,12,8,5,87,58,27,1014,1013,1011,31,24,10,26,11,,0.00,,,106<br />
2014-6-7,22,19,15,17,12,9,94,68,35,1016,1012,1007,31,13,6,26,13,37,4.06,2,Rain,199<br />
2014-6-8,24,19,13,12,11,9,94,59,30,1019,1018,1016,31,18,10,21,10,42,0.00,1,,225<br />
2014-6-9,26,20,15,17,13,10,83,62,34,1019,1016,1014,31,15,3,21,11,37,1.02,2,Rain,155<br />
2014-6-10,22,18,13,15,10,7,88,59,30,1022,1017,1014,31,17,10,32,16,47,0.00,1,,223<br />
2014-6-11,22,17,11,11,9,7,94,60,31,1029,1026,1022,31,15,9,16,14,,0.00,2,,263<br />
2014-6-12,25,18,12,12,9,8,82,52,27,1029,1028,1026,31,21,10,16,10,,0.00,2,,307<br />
2014-6-13,26,19,13,13,11,9,82,52,27,1027,1025,1022,31,19,10,16,10,,0.00,2,,339<br />
2014-6-14,22,18,14,16,13,10,94,71,47,1027,1025,1023,31,11,3,21,11,,3.05,3,Rain-Thunderstorm,30<br />
2014-6-15,18,16,14,13,11,8,88,68,50,1029,1028,1027,31,13,6,16,11,,0.00,6,Rain,31<br />
2014-6-16,18,16,13,11,9,7,82,66,49,1029,1028,1027,31,15,10,21,13,,0.00,5,Rain,25<br />
2014-6-17,21,17,13,11,8,4,77,56,24,1028,1027,1026,31,15,10,23,14,,0.00,4,,26<br />
2014-6-18,22,18,13,14,11,9,94,65,35,1028,1026,1024,31,14,3,19,11,,0.25,4,Rain,31<br />
2014-6-19,21,17,12,14,12,9,94,72,54,1025,1023,1022,31,15,8,19,8,,0.00,4,,34<br />
2014-6-20,23,17,11,12,9,7,82,57,30,1024,1022,1020,31,18,10,21,6,,0.00,2,,311<br />
2014-6-21,24,18,13,12,9,8,77,53,27,1021,1020,1018,31,19,10,19,13,,0.00,2,,287<br />
2014-6-22,24,19,13,13,11,7,82,56,28,1023,1021,1020,31,18,10,19,10,,0.00,2,,111<br />
2014-6-23,26,20,14,15,10,6,83,53,26,1024,1022,1020,31,20,10,13,8,,0.00,2,Rain,135<br />
2014-6-24,24,19,13,15,12,9,94,66,27,1021,1019,1017,31,12,0,23,8,37,0.00,3,Fog,350<br />
2014-6-25,21,16,11,12,7,4,82,52,23,1020,1018,1016,31,18,10,19,13,,0.00,2,,55<br />
2014-6-26,22,17,11,13,8,5,88,58,28,1017,1015,1013,31,17,10,21,11,,1.02,3,Rain,102<br />
2014-6-27,23,18,14,14,11,7,94,65,25,1014,1012,1011,31,13,6,32,16,52,0.00,2,Rain,204<br />
2014-6-28,18,16,12,12,11,10,88,76,52,1012,1010,1008,27,14,9,16,10,,13.97,3,Rain,273<br />
2014-6-29,19,16,12,11,9,5,88,65,31,1017,1013,1010,31,16,10,19,10,,0.00,2,Rain,9<br />
2014-6-30,21,16,9,13,10,7,94,70,33,1019,1017,1017,31,16,8,23,6,,0.51,2,Rain,110<br />
2014-7-1,23,17,12,11,8,4,88,53,24,1022,1020,1018,27,22,10,21,11,32,0.00,2,,85<br />
2014-7-2,24,18,11,13,9,5,88,56,23,1023,1023,1021,27,16,10,24,8,32,0.00,1,,222<br />
2014-7-3,27,20,13,11,9,5,77,48,23,1023,1019,1015,27,19,10,29,14,50,0.00,,,218<br />
2014-7-4,27,20,14,16,12,8,94,61,25,1015,1008,1003,31,14,8,37,19,52,0.51,2,Rain,211<br />
2014-7-5,22,19,16,16,14,12,100,78,53,1004,1002,999,31,13,8,29,19,27,0.76,4,Rain,215<br />
2014-7-6,22,18,14,14,10,7,94,63,29,1011,1005,1003,26,15,10,24,13,40,0.76,2,Rain,256<br />
2014-7-7,21,16,11,12,10,8,94,65,36,1016,1015,1011,27,15,10,24,11,37,0.00,2,Rain,231<br />
2014-7-8,20,16,12,13,11,7,100,72,32,1017,1015,1014,31,14,3,26,6,,4.06,3,Rain-Thunderstorm,306<br />
2014-7-9,23,18,12,12,11,8,94,65,29,1019,1018,1017,31,14,5,26,13,37,0.00,1,,324<br />
2014-7-10,22,18,14,13,11,9,82,64,44,1019,1017,1017,31,19,10,16,14,,0.00,3,,1<br />
2014-7-11,21,17,12,16,13,11,94,76,54,1019,1017,1016,27,14,6,13,8,,0.51,5,Rain,328<br />
2014-7-12,27,21,15,16,14,12,94,69,29,1017,1014,1011,31,11,5,23,8,,0.00,4,,278<br />
2014-7-13,24,20,16,17,14,8,100,70,38,1012,1008,1007,31,14,7,21,14,,0.00,4,Rain,286<br />
2014-7-14,25,18,12,15,10,7,83,57,25,1016,1014,1012,31,17,10,29,14,,0.00,2,,261<br />
2014-7-15,26,22,18,16,13,10,88,59,28,1021,1018,1015,31,17,10,21,14,,0.00,4,Rain,263<br />
2014-7-16,27,21,14,16,13,11,88,60,33,1022,1021,1020,31,19,10,23,11,,0.00,2,,258<br />
2014-7-17,29,23,17,16,15,13,83,60,32,1022,1020,1017,31,19,10,23,10,,0.00,3,Rain,73<br />
2014-7-18,30,24,18,19,16,13,94,62,28,1017,1013,1010,31,14,6,27,16,40,0.00,1,Rain-Thunderstorm,141<br />
2014-7-19,28,23,19,19,17,15,88,69,38,1012,1008,1006,31,15,10,23,10,,0.51,1,Rain-Thunderstorm,165<br />
2014-7-20,27,22,17,17,16,14,94,72,39,1014,1010,1008,26,12,8,16,11,,0.00,3,Rain,290<br />
2014-7-21,27,21,16,17,14,13,88,65,35,1021,1018,1014,31,14,7,14,10,,0.00,2,,323<br />
2014-7-22,27,21,16,16,14,13,88,63,33,1023,1022,1021,31,16,8,16,10,,0.00,1,,23<br />
2014-7-23,29,22,15,17,14,12,88,62,28,1023,1020,1017,26,13,10,26,13,,0.00,2,,55<br />
2014-7-24,29,23,16,16,13,7,88,53,20,1019,1017,1016,26,13,6,24,13,45,0.00,2,,55<br />
2014-7-25,27,22,16,17,15,12,94,71,36,1018,1017,1016,21,11,5,35,10,,9.91,2,Rain-Thunderstorm,28<br />
2014-7-26,29,23,18,16,13,10,88,54,26,1017,1016,1015,16,12,10,14,8,,0.00,1,,345<br />
2014-7-27,26,22,18,15,12,8,78,52,25,1018,1016,1015,19,13,8,19,10,,0.00,1,,308<br />
2014-7-28,23,19,14,16,12,9,94,66,33,1017,1015,1014,26,12,2,21,10,,17.02,2,Rain-Thunderstorm,3<br />
2014-7-29,27,21,16,14,12,9,88,58,25,1017,1016,1014,26,19,10,16,10,,0.00,1,,339<br />
2014-7-30,26,20,14,14,12,9,82,56,30,1017,1016,1015,27,14,10,23,11,,0.00,1,,297<br />
2014-7-31,25,19,14,15,13,12,94,64,32,1016,1014,1012,23,13,10,24,14,39,0.00,2,,257<br />
2014-8-1,25,20,16,15,13,11,94,68,36,1012,1009,1007,29,13,10,24,13,,0.00,3,Rain,200<br />
2014-8-2,24,20,15,17,13,10,88,68,43,1007,1004,1002,31,13,10,29,14,45,2.03,3,Rain,185<br />
2014-8-3,24,18,12,11,9,8,88,57,28,1013,1009,1006,31,18,10,27,16,40,0.00,1,,220<br />
2014-8-4,24,19,13,13,11,7,88,59,27,1018,1015,1013,31,20,10,24,11,32,0.00,2,,242<br />
2014-8-5,25,19,13,15,13,11,94,69,39,1019,1017,1015,31,16,10,26,13,39,0.00,2,Rain,200<br />
2014-8-6,26,21,16,16,14,12,94,70,32,1015,1011,1010,31,14,5,27,14,,0.00,3,Rain,232<br />
2014-8-7,26,20,14,15,12,9,94,61,25,1015,1014,1013,31,19,10,14,8,,0.00,1,,271<br />
2014-8-8,23,19,16,16,14,12,100,70,40,1014,1008,1003,29,12,2,23,8,,21.08,2,Rain,173<br />
2014-8-9,23,18,13,14,12,8,94,67,30,1009,1007,1003,31,14,5,27,19,,0.00,2,Rain,234<br />
2014-8-10,22,19,15,19,13,8,94,74,38,1008,1000,992,27,12,5,40,19,60,8.89,3,Fog-Rain-Thunderstorm,195<br />
2014-8-11,22,17,13,14,11,9,88,69,36,1009,1007,1004,31,12,3,35,26,71,19.05,2,Rain-Thunderstorm,239<br />
2014-8-12,21,17,13,11,9,7,88,66,34,1009,1007,1006,31,18,10,32,21,,0.51,3,Rain,237<br />
2014-8-13,22,17,12,12,11,9,94,68,37,1009,1005,1004,31,15,10,27,16,,0.00,2,,264<br />
2014-8-14,21,17,13,14,12,11,94,76,43,1011,1009,1009,31,14,9,29,13,,6.10,2,Rain-Thunderstorm,251<br />
