country,year,SP.POP.TOTL
Ghana,2013,26164432.0
Greece,2013,11027549.0
Greenland,2013,56483.0
Grenada,2013,105902.0
Guam,2013,165121.0
Guatemala,2013,15690793.0
Guinea,2013,11948726.0
Guinea-Bissau,2013,1757138.0
Guyana,2013,761033.0
Haiti,2013,10431249.0
Honduras,2013,7849059.0
"Hong Kong SAR, China",2013,7187500.0
Hungary,2013,9893082.0
Iceland,2013,323764.0
India,2013,1279498874.0
Indonesia,2013,251268276.0
"Iran, Islamic Rep.",2013,77152445.0
Iraq,2013,33781385.0
Ireland,2013,4598294.0
Isle of Man,2013,86462.0
Israel,2013,8059500.0
Italy,2013,60233948.0
Jamaica,2013,2714734.0
Japan,2013,127338621.0
Jordan,2013,6460000.0
Kazakhstan,2013,17035275.0
Kenya,2013,43692881.0
Kiribati,2013,108544.0
"Korea, Dem. Rep.",2013,24895705.0
"Korea, Rep.",2013,50219669.0
Kosovo,2013,1818117.0
Kuwait,2013,3593689.0
Kyrgyz Republic,2013,5719600.0
Lao PDR,2013,6579985.0
Latvia,2013,2012647.0
Lebanon,2013,4493438.0
Lesotho,2013,2083061.0
Liberia,2013,4293692.0
Libya,2013,6265987.0
Liechtenstein,2013,37040.0
Lithuania,2013,2957689.0
Luxembourg,2013,543360.0
"Macao SAR, China",2013,568056.0
"Macedonia, FYR",2013,2072543.0
Madagascar,2013,22924557.0
Malawi,2013,16190126.0
Malaysia,2013,29465372.0
Maldives,2013,393000.0
Mali,2013,16592097.0
Malta,2013,423374.0
Marshall Islands,2013,52786.0
Mauritania,2013,3872684.0
Mauritius,2013,1258653.0
Mexico,2013,123740109.0
"Micronesia, Fed. Sts.",2013,103718.0
Moldova,2013,3558566.0
Monaco,2013,37528.0
Mongolia,2013,2859174.0
Montenegro,2013,621207.0
Morocco,2013,33452686.0
Mozambique,2013,26467180.0
Myanmar,2013,52983829.0
Namibia,2013,2346592.0
Nepal,2013,27834981.0
Netherlands,2013,16804432.0
New Caledonia,2013,262000.0
New Zealand,2013,4442100.0
Nicaragua,2013,5945646.0
Niger,2013,18358863.0
Nigeria,2013,172816517.0
Northern Mariana Islands,2013,53869.0
Norway,2013,5079623.0
Oman,2013,3906912.0
Pakistan,2013,181192646.0
Palau,2013,20919.0
Panama,2013,3805683.0
Papua New Guinea,2013,7308864.0
Paraguay,2013,6465669.0
Peru,2013,30565461.0
Philippines,2013,97571676.0
Poland,2013,38040196.0
Portugal,2013,10457295.0
Puerto Rico,2013,3595839.0
Qatar,2013,2101288.0
Romania,2013,19983693.0
Russian Federation,2013,143506911.0
Rwanda,2013,11078095.0
Samoa,2013,190390.0
San Marino,2013,31391.0
Sao Tome and Principe,2013,182386.0
Saudi Arabia,2013,30201051.0
Senegal,2013,14221041.0
Serbia,2013,7164132.0
Seychelles,2013,89900.0
Sierra Leone,2013,6178859.0
Singapore,2013,5399200.0
Sint Maarten (Dutch part),2013,36607.0
Slovak Republic,2013,5413393.0
Slovenia,2013,2059953.0
Solomon Islands,2013,560685.0
Somalia,2013,10268157.0
South Africa,2013,53157490.0
South Sudan,2013,11453810.0
Spain,2013,46620045.0
Sri Lanka,2013,20483000.0
St. Kitts and Nevis,2013,54301.0
St. Lucia,2013,182305.0
St. Martin (French part),2013,31264.0
St. Vincent and the Grenadines,2013,109327.0
Sudan,2013,38515095.0
Suriname,2013,533450.0
Swaziland,2013,1250641.0
Sweden,2013,9600379.0
Switzerland,2013,8089346.0
Syrian Arab Republic,2013,21789415.0
Tajikistan,2013,8111894.0
Tanzania,2013,50213457.0
Thailand,2013,67451422.0
Timor-Leste,2013,1180069.0
Togo,2013,6928719.0
Tonga,2013,105139.0
Trinidad and Tobago,2013,1348240.0
Tunisia,2013,10886500.0
Turkey,2013,75010202.0
Turkmenistan,2013,5240088.0
Turks and Caicos Islands,2013,33103.0
Tuvalu,2013,9876.0
Uganda,2013,36573387.0
Ukraine,2013,45489600.0
United Arab Emirates,2013,9039978.0
United Kingdom,2013,64106779.0
United States,2013,316497531.0
Uruguay,2013,3407969.0
Uzbekistan,2013,30243200.0
Vanuatu,2013,253165.0
"Venezuela, RB",2013,30276045.0
Vietnam,2013,89708900.0
Virgin Islands (U.S.),2013,104737.0
West Bank and Gaza,2013,4169506.0
"Yemen, Rep.",2013,25533217.0
Zambia,2013,15246086.0
Zimbabwe,2013,14898092.0
