country,year,NY.GDP.MKTP.CD
Costa Rica,2013,49236710394.4487
Cote d'Ivoire,2013,31292560974.4482
Croatia,2013,57770884728.6496
Cuba,2013,77149700000.0
Curacao,2013,
Cyprus,2013,24057251748.5613
Czech Republic,2013,208328435108.816
Denmark,2013,335877548363.831
Djibouti,2013,1455416073.50848
Dominica,2013,506666666.666667
Dominican Republic,2013,61366326096.194
Ecuador,2013,94776170000.0
"Egypt, Arab Rep.",2013,271972822883.38
El Salvador,2013,24350900000.0
Equatorial Guinea,2013,17135584684.6409
Eritrea,2013,
Estonia,2013,25246787741.9517
Ethiopia,2013,47648211133.2183
Faeroe Islands,2013,2613458940.70206
Fiji,2013,4196100792.87499
Finland,2013,269190106004.86
France,2013,2810249215589.07
French Polynesia,2013,
Gabon,2013,17590716232.4913
"Gambia, The",2013,903779326.489126
Georgia,2013,16140047012.1438
Germany,2013,3745317149399.13
Ghana,2013,47805069494.9081
Greece,2013,239509850570.447
Greenland,2013,
Grenada,2013,842571332.222222
Guam,2013,
Guatemala,2013,53851148431.9321
Guinea,2013,6231725484.55943
Guinea-Bissau,2013,946629755.7864051
Guyana,2013,2982036493.7276697
Haiti,2013,8452718010.077609
Honduras,2013,18496438641.4768
"Hong Kong SAR, China",2013,275742650850.954
Hungary,2013,134401774737.92401
Iceland,2013,15376604281.4504
India,2013,1861801615477.86
Indonesia,2013,910478729099.0359
"Iran, Islamic Rep.",2013,511620875086.78
Iraq,2013,232497236277.87302
Ireland,2013,238259956626.79102
Isle of Man,2013,
Israel,2013,292408330563.864
Italy,2013,2133539300229.7
Jamaica,2013,14187446660.7125
Japan,2013,4919563108372.5
Jordan,2013,33593843661.9718
Kazakhstan,2013,231876282133.87
Kenya,2013,54930813987.9173
Kiribati,2013,168951535.045376
"Korea, Dem. Rep.",2013,
"Korea, Rep.",2013,1305604981271.91
Kosovo,2013,7073021773.76527
Kuwait,2013,174161495063.47
Kyrgyz Republic,2013,7335027591.91628
Lao PDR,2013,11192471435.4383
Latvia,2013,30241650059.7848
Lebanon,2013,44352418120.4643
Lesotho,2013,2218102350.05334
Liberia,2013,1946500000.0
Libya,2013,65509594212.0164
Liechtenstein,2013,
Lithuania,2013,46412093986.4596
Luxembourg,2013,61794506555.5051
"Macao SAR, China",2013,51313531848.8478
"Macedonia, FYR",2013,10767448426.8881
Madagascar,2013,10613473832.7389
Malawi,2013,3883521174.79535
Malaysia,2013,323342854422.546
Maldives,2013,2790659901.11554
Mali,2013,10942822487.185999
Malta,2013,9642848650.1181
Marshall Islands,2013,190180248.293377
Mauritania,2013,5057754938.61127
Mauritius,2013,11931866299.2567
Mexico,2013,1258773797056.06
"Micronesia, Fed. Sts.",2013,315725616.958949
Moldova,2013,7985349731.464709
Monaco,2013,
Mongolia,2013,12545217934.4214
Montenegro,2013,4464260488.58205
Morocco,2013,107316974437.737
Mozambique,2013,16018848990.668999
Myanmar,2013,58652241646.0073
Namibia,2013,12754875754.7824
Nepal,2013,19271168018.482
Netherlands,2013,864169242952.925
New Caledonia,2013,
New Zealand,2013,187937183367.737
Nicaragua,2013,10850733052.0815
Niger,2013,7683045042.9115
Nigeria,2013,514964650436.045
Northern Mariana Islands,2013,
Norway,2013,522349106382.979
Oman,2013,78182574772.4317
Pakistan,2013,231086513914.87198
Palau,2013,228567644.0783
Panama,2013,42648100000.0
Papua New Guinea,2013,15413232345.734
Paraguay,2013,29078927134.8133
Peru,2013,201848484663.508
Philippines,2013,271927428132.554
Poland,2013,524059039422.894
Portugal,2013,226073492966.495
Puerto Rico,2013,103134778000.0
Qatar,2013,201885439560.44
Romania,2013,191587217163.977
Russian Federation,2013,2079024782973.32
Rwanda,2013,7522006198.2320795
Samoa,2013,795753602.492535
San Marino,2013,
Sao Tome and Principe,2013,305632896.585213
Saudi Arabia,2013,744335733333.333
Senegal,2013,14951667193.5471
Serbia,2013,45519650911.4138
Seychelles,2013,1411035753.6973
Sierra Leone,2013,4838115453.11866
Singapore,2013,302245904259.57
Sint Maarten (Dutch part),2013,
Slovak Republic,2013,98033841689.223
Slovenia,2013,47675804617.9958
Solomon Islands,2013,1059690062.43119
Somalia,2013,5352000000.0
South Africa,2013,366243783486.35297
South Sudan,2013,13257635693.0126
Spain,2013,1369261671179.0
Sri Lanka,2013,74317814502.3205
St. Kitts and Nevis,2013,787290366.874074
St. Lucia,2013,1334385778.14815
St. Martin (French part),2013,
St. Vincent and the Grenadines,2013,720636189.62963
Sudan,2013,66480141187.3528
Suriname,2013,5130909090.90909
Swaziland,2013,4562432045.37514
Sweden,2013,578742001487.571
Switzerland,2013,684919206141.1279
Syrian Arab Republic,2013,
Tajikistan,2013,8506615265.135941
Tanzania,2013,44384603619.5421
Thailand,2013,420166569029.486
Timor-Leste,2013,1319000000.0
Togo,2013,4338575823.81993
Tonga,2013,432893161.18847597
Trinidad and Tobago,2013,27257473690.746002
Tunisia,2013,46920723825.9371
Turkey,2013,823242587404.139
Turkmenistan,2013,41012982456.1404
Turks and Caicos Islands,2013,
Tuvalu,2013,38322359.528866604
Uganda,2013,24662957430.3775
Ukraine,2013,183310146378.08102
United Arab Emirates,2013,387192103471.75
United Kingdom,2013,2712296271989.99
United States,2013,16768053000000.0
Uruguay,2013,57524653093.5083
Uzbekistan,2013,56795656324.5823
Vanuatu,2013,801787555.8611209
"Venezuela, RB",2013,
Vietnam,2013,171222025389.999
Virgin Islands (U.S.),2013,
West Bank and Gaza,2013,12473235848.0115
"Yemen, Rep.",2013,35954502303.5041
Zambia,2013,26820806278.8413
Zimbabwe,2013,13490227100.0
