Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,238,Falkland Isds (Malvinas),,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1786,,4892,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,120853,,160678,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,770469,,1052140,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1089711,,1761612,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1018116,,633626,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,89759,,281780,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,52,,251,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,44903,,224000,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1282,,2843,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,10987298,,6635455,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,53412910,,20906885,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2403,,5896,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,12300,,18220,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,428,Latvia,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,168,,683,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,10601,,15649,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,3498,,9818,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,512,Oman,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,259,,1441,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,433014,,728391,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,235393,,439303,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,879752,,779394,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,682,,654,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,22693,,27595,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,568,,1826,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,994,,4771,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,642,Romania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,99240,,176266,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,800,,9524,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,5691,,7043,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1,,15,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,154685,,139810,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,16711,,72453,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,6398,,4963,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,780,Trinidad and Tobago,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,5376,,10596,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,525,,5811,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,13419,,26520,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,7179,,94762,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,899,"Areas, nes",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,19608,,17906,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,11115574,,12426222,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,52285704,,25359028,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,127,,523,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,692864,,1114140,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,395590,,715695,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,92,Br. Virgin Isds,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,13500,,21140,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,3465,,36827,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,156,China,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,750369,,1629613,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,15217,,26237,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,20601,,48442,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1979350,,2525278,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2651,,2826,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,212,Dominica,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,690,,1709,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,238,Falkland Isds (Malvinas),,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,29680,,29280,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,100728,,109690,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1117231,,1324164,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,832097,,905743,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1204844,,654048,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,124750,,278463,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,292,Gibraltar,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,6060,,15762,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,320,Guatemala,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,46000,,164269,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,115563,,325362,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,7,,26,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4570816,,4906177,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,49364444,,20156262,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4054,,8169,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,857,,1789,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,414,Kuwait,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,3930,,11165,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4695,,8523,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2770,,3217,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,950,,8419,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,512,Oman,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,3645,,2619,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,487152,,769278,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,277293,,490736,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,885638,,774715,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,6,,46,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,31900,,38486,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,557,,1025,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2499,,6840,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,642,Romania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,101302,,185564,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,654,Saint Helena,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2520,,2774,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,694,Sierra Leone,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4800,,3832,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,5000,,11460,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4100,,5813,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,134148,,176209,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,14502,,64891,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2583,,1985,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,625,,4347,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,17113,,49506,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,12558,,152787,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,899,"Areas, nes",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,9437,,9380,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,9146425,,12732121,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,54614693,,26028319,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,54,,144,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,709207,,1114029,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1478355,,2271443,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2002,,21057,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,144,Sri Lanka,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1984,,5982,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,156,China,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,729083,,714039,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,27023,,18066,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2760593,,3365579,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2,,15,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,238,Falkland Isds (Malvinas),,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,9404,,14413,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,94986,,110404,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1065341,,1412911,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1052371,,1451114,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1231645,,696740,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,124571,,253438,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,292,Gibraltar,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,8293,,17637,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,6754,,8936,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,103412,,132286,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,199,,992,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1576185,,3580137,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,50329169,,20038754,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,645,,2263,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,4711,,6967,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,700,,6977,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,410,Rep. of Korea,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,81,,1547,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,8431,,13237,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,337,,613,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,458,Malaysia,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,676,,8945,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,36982,,29818,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,210,,4947,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,846997,,1515483,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,367965,,625494,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,785623,,713609,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,12,,15,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,39974,,49440,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1366,,2600,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,550,,3870,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,642,Romania,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,103064,,185847,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,682,Saudi Arabia,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,300,,1688,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,800,,9425,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,21621,,31208,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,2,,18,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,180556,,150170,,,0
HS,2015,201503,March 2015,4,0,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,17628,,75952,,,0
HS,2015,201503,March 2015,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",0,,,,,,1420,,1433,,,0
